0
0 1 2 3 2 4 5 2 6 7   ||   3 3 74 3 74 2 2 74 2 4
0 8 9 10 11 10 12 10 13 14   ||   3 3 2 65 3 65 3 65 5 7
0 1 0 8 9 8 0 15   ||   3 3 3 3 2 3 3 4
0 15 2 16 17 18 19 20 21 22   ||   3 4 74 4 32 11 32 7 4 44
0 1 23 2 24 2   ||   3 3 2 74 2 74
0 15 2 25 26 27 28 29 30 31   ||   3 4 74 2 12 33 6 5 3 1
0 8 0 15 32 15 2 33 34 33   ||   3 3 3 4 1 4 74 2 3 2
0 15 0 1 23 1 2 35 2 36   ||   3 4 3 3 2 3 74 4 74 1
0 1 2 37 38 39 38 40 41 42   ||   3 3 74 5 34 2 34 3 10 2
0 1 23 1 2 25 2 43 44 45   ||   3 3 2 3 74 2 74 5 5 2
1
0 1 2 3 4 3 5 3 2 6   ||   3 5 6 6 2 6 4 6 6 3
0 7 0 1 8 9 10 11 12 13   ||   3 2 3 5 65 16 2 16 4 3
0 1 0 7 14 15 16 17   ||   3 5 3 2 5 7 5 10
0 7 14 18 19 20 21 22 23 24   ||   3 2 5 5 7 5 8 12 4 6
0 1 25 1 0 7   ||   3 5 1 5 3 2
0 7 14 19 20 19 26 27   ||   3 2 5 7 5 7 5 17
0 7 14 16 19 16 14 18 28 18   ||   3 2 5 5 7 5 5 5 1 5
0 29 0 1 2 30 2 31 32 33   ||   3 1 3 5 6 4 6 2 40 6
0 1 2 3 34 3 4 35 36 37   ||   3 5 6 6 1 6 2 4 9 11
0 29 0 1 2 6   ||   3 1 3 5 6 3
2
0 1 2 3 4 5 6 7 8 9   ||   5 5 5 6 16 3 10 4 40 3
0 10 11 12 13 14 15 16   ||   5 6 6 2 4 9 3 15
0 17 18 19 20 21 8 22   ||   5 65 3 3 5 4 40 8
0 23 0 1 24 25   ||   5 3 5 5 2 1
0 1 26 27 28 4   ||   5 5 5 5 3 16
0 23 0 1 26 29 30 31 32 33   ||   5 3 5 5 5 5 9 5 5 3
0 17 34 35 34 8 36 37 38 36   ||   5 65 5 1 5 40 5 8 5 5
0 39 0 10 40 41 42 43 44 45   ||   5 1 5 6 4 2 4 4 74 2
0 1 24 1 2 17 46 17 47 48   ||   5 5 2 5 5 65 2 65 5 5
0 1 0 39 0 23 49 23 50 23   ||   5 5 5 1 5 3 1 3 2 3
3
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
0 1   ||   1 1
4
0 1 2 3 0 2   ||   5 5 8 8 5 8
0 4 0 3 4 2 5 2 1 6   ||   5 5 5 8 5 8 7 8 5 1
0 1 7 3 8 9 4 0   ||   5 5 3 8 3 5 5 5
0 3 1 7 2 0 2 8 3 0   ||   5 8 5 3 8 5 8 3 8 5
0 1 6 1 0 3 1 7 3 4   ||   5 5 1 5 5 8 5 3 8 5
0 5 2 1 0 4 0 1 7 2   ||   5 7 8 5 5 5 5 5 3 8
0 4 2 5 10 11   ||   5 5 8 7 8 4
0 2 1 2 0 5 12 13   ||   5 8 5 8 5 7 168 2
0 3 8 2 0 1 6 1 3 2   ||   5 8 3 8 5 5 1 5 8 8
0 5 14 15 14 12 16 17   ||   5 7 3 1 3 168 2 17
5
